,name,url,rating,coordinates.latitude,coordinates.longitude,location.city
65,L'Ecrin,https://www.yelp.com/biz/l-ecrin-honfleur-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,49.4199278,0.229308,Honfleur
66,Ferme Saint-Siméon,https://www.yelp.com/biz/ferme-saint-sim%C3%A9on-honfleur?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,49.42403,0.224946,Honfleur
67,Hôtel Au Richelieu,https://www.yelp.com/biz/h%C3%B4tel-au-richelieu-le-havre?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,2.0,49.488807,0.107678,Le Havre
68,Hôtel Ibis le Havre-Harfleur,https://www.yelp.com/biz/h%C3%B4tel-ibis-le-havre-harfleur-harfleur-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.5,49.5048119,0.1980578,Harfleur
69,"Hotel de Bourgtheroulde, Autograph Collection",https://www.yelp.com/biz/hotel-de-bourgtheroulde-autograph-collection-rouen?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.5,49.442103,1.088309,Rouen
70,Hôtel d'Angleterre,https://www.yelp.com/biz/h%C3%B4tel-d-angleterre-rouen?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.5,49.439519,1.087422,Rouen
71,Hôtel Mercure Rouen Centre Cathedrale,https://www.yelp.com/biz/h%C3%B4tel-mercure-rouen-centre-cathedrale-rouen?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,49.44121,1.09539,Rouen
72,Hôtel de L'Europe,https://www.yelp.com/biz/h%C3%B4tel-de-l-europe-rouen-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.5,49.4536,1.1013,Rouen
73,Hôtel Ibis Rouen Centre Rive Droite,https://www.yelp.com/biz/h%C3%B4tel-ibis-rouen-centre-rive-droite-rouen-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.0,49.4427,1.07888,Rouen
74,Hôtel de la Cathédrale,https://www.yelp.com/biz/h%C3%B4tel-de-la-cath%C3%A9drale-rouen-3?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.5,49.4402392,1.0970106,Rouen
75,Hotel Morand,https://www.yelp.com/biz/hotel-morand-rouen?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,49.4456711,1.0944996,Rouen
76,Hôtel Kyriad Rouen Centre,https://www.yelp.com/biz/h%C3%B4tel-kyriad-rouen-centre-rouen?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,1.0,49.44154,1.08151,Rouen
77,Hôtel Le Vieux Carré,https://www.yelp.com/biz/h%C3%B4tel-le-vieux-carr%C3%A9-rouen?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,49.443410131664,1.0946564250582,Rouen
78,Suitehôtel Rouen,https://www.yelp.com/biz/suiteh%C3%B4tel-rouen-rouen?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,49.442634,1.076554,Rouen
79,Best Western - Hôtel Littéraire Gustave Flaubert,https://www.yelp.com/biz/best-western-h%C3%B4tel-litt%C3%A9raire-gustave-flaubert-rouen-5?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.5,49.4425543,1.0868012,Rouen
80,Hôtel Ibis Styles Rouen Centre Cathedrale,https://www.yelp.com/biz/h%C3%B4tel-ibis-styles-rouen-centre-cathedrale-rouen?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,2.5,49.4374516,1.096181,Rouen
81,Vieille Tour,https://www.yelp.com/biz/vieille-tour-rouen?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,1.0,49.438868,1.095629,Rouen
82,Hôtel Notre Dame,https://www.yelp.com/biz/h%C3%B4tel-notre-dame-rouen-4?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.0,49.43861922,1.09351694,Rouen
83,Les Initiés,https://www.yelp.com/biz/les-initi%C3%A9s-rouen-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,49.44197,1.09241,Rouen
